Username,Comment,Date
sy4h_03,"Skin Suitability:very nice
Effectiveness:very good

Ive used these about a month...very effective...use for a day and poof 💨 your pinple is gone",2023-08-31
,"Skin Suitability:skin saya combination
Effectiveness:belum try lagi , nanti dah tr saya edit komen ini semula

Order 25/4

Dapat brg 27/4

Seller ship out brg laju",2023-08-29
anajuseyo,Kali ke3 beli kat sini. Kotak ada sedikit kemek tapi barang dalam okay. Thank you seller 😊😊,2023-08-31
i*****x,"Effectiveness:my acne gone after 8 hours wearing it
Skin Suitability:nice

i will repeat buying this",2024-01-05
l*****i,Delivery take quite long Mayb due to 11.11 sales but received everything is good condition. ,2023-08-29
dyah3107,"Skin Suitability:oil
Effectiveness:good for skin

senang digunakan dan boleh tutup jerawat saya..",2024-02-08
3*****n,"seller pos lambat 2hari

acne patch ok saja, nasib la tak urgent nak pakai",2023-08-29
o*****7,"A very good product from this seller, excellent service provided, will purchase again in future.",2023-11-04
h*****n,Smpai dlm keadaan yg baik...... kotak pon x kemek.... funtion gak bnda ni serap nanah and minyak  kotor kat muka,2023-08-31
j*****g,"Use a few as you can see in the video. Looks great, my Acne is significantly reduced. But the best part about this is how sticky it is.",2023-08-31
a*****2,"Skin Suitability:it suit my skin and all skins
Effectiveness:yes

I like it very much , works so good",2023-10-25
i*****i,"The purple one quality still ok compared to price, the blue one totally can’t be used, not worth the price at all 

",2023-08-29
e*****h,Box dented a bit. But the patches still in good conditions. Really help to fight pimples.,2021-11-19
v*****e,"is a good product
but the delivery service really slow
and the seller only printed half of my name and I cannot find my parcel🤦‍♀",2023-08-29
hafizuddin1311,"Skin Suitability:suitable for all skin type
Effectiveness:very effective against pimple

Really love this product and its really extracting all the pimple out.",2023-08-31
s*****n,"Effectiveness:okay
Skin Suitability:okay

Bought during sale much cheaper than any other shops. Senang and cepat sedut jerawat. Better to use 35pcs",2024-01-01
ayingjannah,Bagus sangat acne patch ni. Patch ni akan serap nanah jerawat tuu. suke sangat!. Senang guna sbb disediakan dgn kepit die so takde la kene tangan kotor,2023-08-29
yunxuanong,Nice product. Has been used this for a while and it works on my pimples.,2020-02-12
s*****l,Good product with cheap price when using voucher! Recommend seller with fast delivery service,2024-01-11
veni1vidi1vici,"

Good quality and exactly same with the picture. Fast delivery and arrived safely. the packing is good. overall,the products is  worth the money. ",2021-03-31
